,gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,status
0,316,164,152,99.0,3.12,12,0,reject
1,316,164,152,99.0,3.12,12,0,reject
2,316,160,156,114,2.97,0,0,reject
3,317,168,149,106.0,2.83,15,0,reject
4,317,161,156,106.0,2.01,0,0,reject
5,299,151,148,101,3.0,35,0,reject
6,325,168,157,105.0,2.95,28,0,reject
7,314,164,150,103.0,3.2,3,1,reject
8,326,165,161,109.0,2.59,1,3,reject
9,328,169,159,106.0,2.84,30,0,reject
10,322,163,159,106.0,2.71,2,2,reject
11,300,160,140,99.0,2.71,24,3,reject
12,312,162,150,102.0,2.52,30,3,reject
13,316,159,157,104.0,1.89,43,0,reject
14,322,162,160,114.0,2.76,16,2,reject
15,316,164,152,99.0,3.12,12,0,reject
16,316,164,152,99.0,3.12,12,0,reject
17,316,160,156,114,2.97,0,0,reject
18,317,168,149,106.0,2.83,15,0,reject
19,317,161,156,106.0,2.01,0,0,reject
20,299,151,148,101,3.0,35,0,reject
21,325,168,157,105.0,2.95,28,0,reject
22,314,164,150,103.0,3.2,3,1,reject
23,326,165,161,109.0,2.59,1,3,reject
24,328,169,159,106.0,2.84,30,0,reject
25,322,163,159,106.0,2.71,2,2,reject
26,300,160,140,99.0,2.71,24,3,reject
27,312,162,150,102.0,2.52,30,3,reject
28,316,159,157,104.0,1.89,43,0,reject
29,322,162,160,114.0,2.76,16,2,reject
30,307,166,141,80.0,3.4,60,2,reject
31,330,168,162,113.0,2.98,34,2,reject
32,313,162,151,92.0,3.31,1,3,reject
33,313,162,151,92.0,3.31,1,3,reject
34,312,157,155,94.0,3.34,12,2,reject
35,321,164,157,110.0,1.21,4,3,reject
36,287,149,138,83.0,2.73,25,0,reject
37,315,158,157,113.0,2.38,17,2,reject
38,310,161,149,102.0,2.79,31,3,reject
39,312,164,148,101,3.0,30,0,reject
40,321,169,152,105.0,2.47,6,3,reject
41,327,169,158,106.0,2.84,41,0,reject
42,311,163,148,101,3.4,10,0,reject
43,304,153,151,104.0,2.85,24,0,reject
44,309,163,146,96.0,3.48,12,0,reject
45,300,157,143,99.0,3.3,30,0,reject
46,324,167,157,101.0,2.56,82,3,reject
47,312,157,155,110.0,2.86,25,3,reject
48,309,168,141,103.0,3.48,2,0,reject
49,310,158,152,97.0,2.26,57,0,reject
50,311,162,149,99.0,2.95,0,3,reject
51,315,165,150,97.0,3.53,24,0,reject
52,303,156,147,100.0,2.76,53,2,reject
53,307,157,150,93.0,3.05,25,0,reject
54,313,166,147,106.0,3.28,1,3,reject
55,322,170,152,101.0,2.81,25,3,reject
56,309,168,141,98.0,3.16,9,0,reject
57,308,159,149,95.0,3.36,14,0,reject
58,304,160,144,95.0,3.52,0,0,reject
59,311,166,145,97.0,3.35,0,0,reject
60,310,161,149,95.0,3.16,0,0,reject
61,311,159,152,93.0,2.94,15,0,reject
62,304,161,143,94.0,3.55,46,0,reject
63,310,158,152,103.0,2.08,60,0,reject
64,302,159,143,92.0,3.28,0,0,reject
65,305,145,160,101.0,1.95,50,2,reject
66,307,163,144,65.0,2.4,40,0,reject
67,317,170,147,96.0,3.16,31,0,reject
68,302,160,142,86.0,2.56,60,0,reject
69,308,161,147,96.0,3.52,24,0,reject
70,306,160,146,94.0,3.34,18,3,reject
71,305,163,142,91.0,2.6,45,0,reject
72,312,165,147,91.0,2.6,60,0,reject
73,305,155,150,94.0,2.59,19,0,reject
74,310,157,153,96.0,2.92,13,3,reject
75,313,164,149,90.0,3.28,15,1,reject
76,313,162,151,95.0,3.2,0,0,reject
77,314,163,151,95.0,2.51,60,0,reject
78,312,161,151,96.0,2.75,18,0,reject
79,308,164,144,90.0,3.37,0,0,reject
80,307,158,149,114,2.63,34,0,reject
81,319,170,149,86.0,3.68,13,0,reject
82,319,170,149,86.0,3.68,13,0,reject
83,314,166,148,89.0,2.67,13,2,reject
84,308,165,143,96.0,2.2,92,0,reject
85,310,160,150,93.0,3.6,1,0,reject
86,317,161,156,75.0,3.12,0,0,reject
87,312,167,145,100.0,2.8,21,0,reject
88,320,161,159,75.0,2.44,1,0,reject
89,305,161,144,98.0,2.78,2,0,reject
90,316,164,152,107.0,3.44,3,0,reject
91,319,169,150,105.0,3.3,0,0,reject
92,292,155,137,65.0,2.68,5,1,reject
93,315,166,149,99.0,3.08,12,0,reject
94,311,165,146,95.0,3.52,0,0,reject
95,312,160,152,109.0,3.4,7,0,reject
96,293,157,136,87.0,2.0,15,0,reject
97,318,164,154,108.0,2.4,46,0,reject
98,318,164,154,108.0,2.4,46,0,reject
99,319,170,149,108.0,2.64,42,0,reject
100,306,159,147,97.0,3.32,24,3,reject
101,303,160,143,89.0,3.0,0,0,reject
102,309,158,151,0,2.48,60,0,reject
103,303,160,143,101,2.1,0,0,reject
104,320,160,160,82.0,3.45,10,0,reject
105,302,153,149,91.0,2.56,110,0,reject
106,313,164,149,96.0,2.46,7,0,reject
107,303,159,144,92.0,3.15,26,0,reject
108,322,169,153,113.0,2.89,2,0,reject
109,305,158,147,82.0,2.97,25,3,reject
110,305,159,146,101,3.45,37,0,reject
111,302,158,144,92.0,2.85,48,0,reject
112,329,168,161,113.0,3.06,40,0,reject
113,308,155,153,114,2.9,1,3,reject
114,308,157,151,101.0,3.18,0,1,reject
115,308,157,151,101.0,3.18,0,1,reject
116,325,167,158,109.0,3.06,0,0,reject
117,319,162,157,112.0,1.9,60,0,reject
118,319,164,155,115.0,1.43,0,0,reject
119,321,164,157,106.0,3.21,14,0,reject
120,293,156,137,79.0,2.0,63,0,reject
121,313,163,150,116.0,2.99,2,0,reject
122,309,167,142,96.0,2.47,0,0,reject
123,308,165,143,101,3.57,24,2,reject
124,318,166,152,75.0,3.27,0,0,reject
125,302,154,148,101,3.0,2,0,reject
126,317,165,152,101.0,2.35,18,3,reject
127,312,163,149,87.0,2.81,30,1,reject
128,318,166,152,0,3.35,28,0,reject
129,322,165,157,110.0,2.4,30,0,reject
130,306,157,149,0,2.1,11,3,reject
131,324,167,157,110.0,3.37,15,0,reject
132,316,166,150,96.0,2.52,34,0,reject
133,304,157,147,94.0,3.28,0,0,reject
134,319,170,149,0,2.54,8,0,reject
135,311,161,150,100.0,2.65,31,0,reject
136,320,163,157,114.0,2.92,0,0,reject
137,315,164,151,0,2.3,30,0,reject
138,319,164,155,114.0,3.23,60,0,reject
139,311,162,149,114,2.71,18,0,reject
140,303,158,145,99.0,3.86,12,0,reject
141,314,162,152,106.0,3.36,6,0,reject
142,319,166,153,91.0,3.14,0,3,reject
143,317,166,151,105.0,3.23,8,0,reject
144,318,165,153,95.0,3.14,30,0,reject
145,307,160,147,95.0,2.25,60,0,reject
146,311,163,148,101,3.68,24,3,reject
147,312,166,146,99.0,2.6,27,0,reject
148,303,142,161,101,3.7,19,0,reject
149,313,160,153,0,3.36,0,0,reject
150,313,163,150,0,3.08,0,0,reject
151,314,162,152,105.0,2.9,2,0,reject
152,288,153,135,79.0,2.94,19,3,reject
153,303,157,146,101,3.1,23,0,reject
154,312,166,146,93.0,3.31,55,0,reject
155,319,165,154,110.0,3.88,1,3,reject
156,313,169,144,100.0,2.96,3,0,reject
157,317,169,148,96.0,2.98,24,3,reject
158,313,162,151,102.0,3.12,1,0,reject
159,308,160,148,0,2.84,1,0,reject
160,310,163,147,0,3.24,14,3,reject
161,315,166,149,98.0,3.36,1,3,reject
162,322,165,157,111.0,2.15,20,0,reject
163,312,164,148,97.0,3.65,27,3,reject
164,310,160,150,97.0,3.51,41,0,reject
165,322,161,161,109.0,2.9,7,1,reject
166,312,147,165,106.0,2.75,15,3,reject
167,312,147,165,106.0,2.75,15,3,reject
168,320,164,156,0,2.55,51,0,reject
169,313,165,148,75.0,3.09,0,0,reject
170,316,163,153,110.0,3.56,23,0,reject
171,300,156,144,93.0,3.62,24,0,reject
172,321,167,154,113.0,2.1,24,0,reject
173,323,163,160,110.0,2.96,0,0,reject
174,301,153,148,95.0,1.82,12,3,reject
175,313,163,150,96.0,3.44,28,0,reject
176,310,165,145,104.0,2.96,5,0,reject
177,303,158,145,101.0,3.62,0,3,reject
178,311,161,150,101.0,3.36,0,0,reject
179,304,156,148,102.0,3.05,42,0,reject
180,323,156,167,107.0,3.02,36,0,reject
181,308,160,148,103.0,3.42,24,0,reject
182,308,160,148,103.0,3.42,24,0,reject
183,307,162,145,105.0,2.13,4,3,reject
184,304,160,144,99.0,3.6,0,0,reject
185,315,164,151,108.0,3.17,8,0,reject
186,315,161,154,112.0,2.36,12,3,reject
187,313,161,152,110.0,3.05,4,0,reject
188,318,167,151,104.0,3.12,13,0,reject
189,308,156,152,0,2.77,28,0,reject
190,306,154,152,109.0,3.41,0,0,reject
191,314,161,153,100.0,2.2,0,0,reject
192,319,164,155,112.0,2.6,5,0,reject
193,310,158,152,96.0,2.54,1,3,reject
194,304,160,144,99.0,3.1,2,0,reject
195,310,161,149,0,3.52,0,0,reject
196,320,167,153,0,3.04,1,2,reject
197,312,163,149,107.0,3.42,30,0,reject
198,318,163,155,110.0,3.33,51,0,reject
199,313,161,152,0,2.53,17,0,reject
200,310,159,151,103.0,3.31,15,3,reject
201,314,161,153,0,2.83,17,3,reject
202,310,158,152,96.0,2.25,33,0,reject
203,316,168,148,98.0,3.04,16,2,reject
204,319,169,150,101.0,3.03,8,0,reject
205,320,162,158,0,2.8,31,0,reject
206,309,160,149,106.0,3.15,26,0,reject
207,319,166,153,97.0,3.42,21,0,reject
208,315,163,152,103.0,3.24,40,3,reject
209,303,158,145,94.0,2.6,35,0,reject
210,318,168,150,107.0,3.27,1,0,reject
211,305,155,150,114,2.98,0,0,reject
212,317,168,149,102.0,2.98,3,0,reject
213,325,170,155,105.0,3.3,24,0,reject
214,307,160,147,75.0,3.48,11,0,reject
215,314,163,151,104.0,3.31,0,1,reject
216,307,161,146,112.0,3.53,36,3,reject
217,315,160,155,75.0,3.33,42,0,reject
218,303,154,149,104.0,3.17,5,0,reject
219,314,164,150,92.0,2.6,18,0,reject
220,313,165,148,0,2.58,10,2,reject
221,314,164,150,105.0,3.31,1,3,reject
222,310,163,147,0,3.24,14,3,reject
223,315,166,149,98.0,3.36,1,3,reject
224,314,163,151,114.0,2.27,18,0,reject
225,312,164,148,97.0,3.65,27,3,reject
226,310,160,150,97.0,3.51,41,0,reject
227,306,157,149,107.0,2.61,11,0,reject
228,312,147,165,106.0,2.75,15,3,reject
229,312,147,165,106.0,2.75,15,3,reject
230,320,164,156,0,2.55,51,0,reject
231,304,156,148,104.0,2.7,25,0,reject
232,316,163,153,110.0,3.56,23,0,reject
233,300,156,144,93.0,3.62,24,0,reject
234,321,167,154,113.0,2.1,24,0,reject
235,301,153,148,95.0,1.82,12,3,reject
236,313,163,150,96.0,3.44,28,0,reject
237,311,161,150,111.0,2.69,24,0,reject
238,303,158,145,101.0,3.62,0,3,reject
239,311,161,150,101.0,3.36,0,0,reject
240,306,157,149,102.0,2.1,0,3,reject
241,323,156,167,107.0,3.02,36,0,reject
242,308,160,148,103.0,3.42,24,0,reject
243,308,160,148,103.0,3.42,24,0,reject
244,311,162,149,104.0,2.45,0,0,reject
245,304,160,144,99.0,3.6,0,0,reject
246,315,164,151,108.0,3.17,8,0,reject
247,315,161,154,112.0,2.36,12,3,reject
248,314,166,148,103.0,2.85,18,3,reject
249,318,167,151,104.0,3.12,13,0,reject
250,308,156,152,0,2.77,28,0,reject
251,306,154,152,109.0,3.41,0,0,reject
252,322,167,155,107.0,2.86,27,3,reject
253,319,164,155,112.0,2.6,5,0,reject
254,310,158,152,96.0,2.54,1,3,reject
255,304,160,144,99.0,3.1,2,0,reject
256,312,160,152,0,3.06,0,3,reject
257,320,167,153,0,3.04,1,2,reject
258,312,163,149,107.0,3.42,30,0,reject
259,312,163,149,107.0,3.42,30,0,reject
260,313,161,152,0,2.53,17,0,reject
261,310,159,151,103.0,3.31,15,3,reject
262,314,161,153,0,2.83,17,3,reject
263,305,158,147,0,2.8,3,0,reject
264,316,168,148,98.0,3.04,16,2,reject
265,319,169,150,101.0,3.03,8,0,reject
266,320,162,158,0,2.8,31,0,reject
267,308,161,147,65.0,3.23,29,0,reject
268,319,166,153,97.0,3.42,21,0,reject
269,315,163,152,103.0,3.24,40,3,reject
270,303,158,145,94.0,2.6,35,0,reject
271,302,152,150,0,3.56,2,0,reject
272,305,155,150,114,2.98,0,0,reject
273,317,168,149,102.0,2.98,3,0,reject
274,325,170,155,105.0,3.3,24,0,reject
275,319,168,151,107.0,2.0,0,0,reject
276,329,167,162,106.0,2.15,36,0,reject
277,311,162,149,0,2.76,29,0,reject
278,308,164,144,100.0,3.28,1,3,reject
279,316,160,156,102.0,2.39,1,0,reject
280,310,162,148,95.0,3.12,53,0,reject
281,312,157,155,98.0,2.6,27,2,reject
282,310,160,150,101.0,3.26,0,0,reject
283,310,165,145,65.0,2.81,16,0,reject
284,319,167,152,110.0,2.4,18,0,reject
285,320,164,156,112.0,2.33,15,3,reject
286,304,160,144,102.0,2.71,0,0,reject
287,307,158,149,106.0,3.4,4,3,reject
288,312,162,150,113.0,3.74,4,3,reject
289,319,167,152,100.0,3.33,51,0,reject
290,323,168,155,104.0,3.48,7,3,reject
291,320,168,152,106.0,2.92,17,0,reject
292,312,163,149,114,3.21,3,0,reject
293,310,157,153,99.0,2.55,21,0,reject
294,314,158,156,111.0,3.33,23,0,reject
295,316,170,146,98.0,2.8,30,0,reject
296,303,153,150,75.0,2.22,36,0,reject
297,312,162,150,102.0,3.2,18,0,reject
298,315,166,149,108.0,3.13,15,3,reject
299,304,152,152,106.0,3.26,28,0,reject
300,317,160,157,0,2.85,5,0,reject
301,319,161,158,111.0,2.96,6,0,reject
302,311,168,143,102.0,3.44,0,0,reject
303,310,166,144,114,2.42,0,0,reject
304,317,162,155,0,3.2,34,0,reject
305,319,164,155,114,2.37,0,0,reject
306,313,163,150,75.0,3.28,20,0,reject
307,317,164,153,107.0,3.36,18,0,reject
308,306,164,142,107.0,3.5,4,3,reject
309,316,167,149,100.0,2.9,6,0,reject
310,324,167,157,109.0,3.63,20,0,reject
311,323,167,156,0,3.54,6,3,reject
312,306,162,144,0,3.24,8,3,reject
313,302,155,147,98.0,3.2,29,1,reject
314,326,165,161,118.0,2.35,0,0,reject
315,304,158,146,75.0,3.0,0,0,reject
316,303,160,143,98.0,2.92,30,0,reject
317,309,161,148,106.0,3.09,0,0,reject
318,298,157,141,90.0,2.5,28,0,reject
319,299,159,140,0,2.81,1,0,reject
320,317,160,157,108.0,3.36,29,0,reject
321,318,167,151,101.0,2.6,36,0,reject
322,306,156,150,75.0,3.38,1,0,reject
323,306,156,150,75.0,3.38,1,0,reject
324,309,160,149,90.0,1.81,50,0,reject
325,313,163,150,96.0,3.45,0,0,reject
326,312,160,152,0,2.45,13,0,reject
327,317,163,154,111.0,2.82,24,3,reject
328,304,160,144,87.0,2.25,40,0,reject
329,322,168,154,104.0,3.36,50,0,reject
330,312,161,151,97.0,3.45,0,0,reject
331,308,159,149,93.0,1.96,33,3,reject
332,320,163,157,101.0,2.5,27,3,reject
333,310,164,146,102.0,2.62,28,0,reject
334,325,165,160,114.0,2.66,33,0,reject
335,330,165,165,118.0,3.56,7,0,reject
336,309,159,150,104.0,3.14,17,0,reject
337,305,155,150,101,2.65,24,2,reject
338,291,152,139,101,2.45,7,0,reject
339,291,152,139,101,2.45,7,0,reject
340,312,150,162,0,3.44,0,0,reject
341,310,160,150,103.0,3.42,36,0,reject
342,317,167,150,99.0,3.3,30,0,reject
343,315,169,146,98.0,3.15,24,0,reject
344,308,160,148,98.0,2.42,6,3,reject
345,322,170,152,107.0,3.56,39,0,reject
346,313,163,150,0,2.94,23,3,reject
347,308,163,145,0,2.87,0,0,reject
348,310,161,149,90.0,2.65,48,0,reject
349,304,162,142,95.0,2.4,3,3,reject
350,306,158,148,0,3.84,30,0,reject
351,310,163,147,101.0,3.06,14,3,reject
352,316,165,151,112.0,3.09,1,1,reject
353,306,159,147,96.0,2.61,44,0,reject
354,309,160,149,93.0,2.85,2,3,reject
355,309,160,149,93.0,2.85,2,3,reject
356,320,170,150,104.0,3.42,9,0,reject
357,303,162,141,101,3.27,12,0,reject
358,307,164,143,101.0,3.24,34,0,reject
359,305,160,145,104.0,3.31,20,0,reject
360,313,162,151,97.0,3.12,28,0,reject
361,324,165,159,110.0,2.6,12,0,reject
362,307,160,147,111.0,2.8,0,0,reject
363,307,156,151,102.0,2.8,0,0,reject
364,324,169,155,112.0,3.1,14,0,reject
365,312,167,145,0,3.12,33,0,reject
366,312,162,150,0,3.45,1,3,reject
367,306,161,145,75.0,2.89,18,3,reject
368,327,168,159,115.0,2.8,15,0,reject
369,319,167,152,107.0,3.44,0,0,reject
370,326,167,159,0,2.0,36,0,reject
371,311,160,151,108.0,3.18,50,0,reject
372,316,163,153,104.0,3.04,21,0,reject
373,304,159,145,96.0,2.52,20,0,reject
374,318,165,153,116.0,2.23,25,0,reject
375,312,161,151,109.0,3.21,18,0,reject
376,317,165,152,105.0,3.08,1,0,reject
377,319,164,155,109.0,2.88,4,0,reject
378,322,167,155,101.0,2.69,26,3,reject
379,308,160,148,101,2.85,0,3,reject
380,311,156,155,98.0,2.76,12,0,reject
381,313,167,146,93.0,3.52,30,0,reject
382,316,166,150,99.0,2.4,0,0,reject
383,311,162,149,96.0,3.33,2,1,reject
384,307,157,150,0,3.23,8,0,reject
385,322,169,153,111.0,3.15,41,0,reject
386,313,161,152,106.0,3.1,0,3,reject
387,323,166,157,0,3.23,25,3,reject
388,318,162,156,0,3.8,0,0,reject
389,304,160,144,100.0,3.12,1,0,reject
390,316,163,153,96.0,2.86,4,0,reject
391,315,168,147,104.0,2.96,15,3,reject
392,317,159,158,99.0,3.31,38,0,reject
393,307,161,146,101.0,3.32,20,0,reject
394,318,158,160,111.0,2.05,12,3,reject
395,307,161,146,101,3.17,2,3,reject
396,312,167,145,101,3.42,0,0,reject
397,313,162,151,98.0,3.16,15,3,reject
398,314,162,152,91.0,2.82,15,0,reject
399,300,155,145,103.0,3.1,2,0,reject
400,313,170,143,65.0,2.63,9,0,reject
401,314,162,152,111.0,3.11,1,0,reject
402,305,155,150,101.0,3.36,24,3,reject
403,307,159,148,93.0,2.98,15,3,reject
404,311,162,149,105.0,2.45,0,0,reject
405,311,162,149,105.0,2.45,0,0,reject
406,326,170,156,111.0,3.47,20,0,reject
407,325,166,159,111.0,2.7,30,0,reject
408,319,162,157,104.0,3.3,18,0,reject
409,307,158,149,107.0,2.92,12,0,reject
410,309,158,151,109.0,3.08,23,3,reject
411,312,167,145,85.0,3.3,30,0,reject
412,309,159,150,99.0,3.2,42,0,reject
413,308,159,149,101,2.69,0,0,reject
414,320,169,151,106.0,3.01,25,0,reject
415,323,165,158,109.0,2.88,2,0,reject
416,307,166,141,101,3.62,22,3,reject
417,312,163,149,103.0,3.4,13,0,reject
418,306,161,145,100.0,3.26,0,3,reject
419,318,167,151,103.0,2.84,10,3,reject
420,310,160,150,0,3.51,4,0,reject
421,312,161,151,104.0,2.5,2,1,reject
422,306,157,149,95.0,3.12,42,0,reject
423,309,163,146,100.0,3.5,15,0,reject
424,307,160,147,101.0,3.48,19,0,reject
425,311,162,149,0,2.25,29,0,reject
426,307,164,143,93.0,3.21,22,3,reject
427,316,162,154,96.0,2.82,24,0,reject
428,307,158,149,105.0,2.72,10,3,reject
429,324,169,155,112.0,3.16,15,3,reject
430,308,163,145,83.0,3.36,2,0,reject
431,307,159,148,75.0,3.44,0,3,reject
432,307,161,146,101.0,2.1,33,0,reject
433,310,155,155,111.0,2.96,15,0,reject
434,310,155,155,111.0,2.96,15,0,reject
435,318,160,158,0,2.91,0,0,reject
436,319,160,159,111.0,3.14,10,3,reject
437,317,169,148,95.0,3.24,0,0,reject
438,311,167,144,101.0,3.21,10,0,reject
439,316,163,153,0,3.73,1,0,reject
440,322,167,155,113.0,3.56,0,0,reject
441,314,165,149,108.0,2.08,0,1,reject
442,306,163,143,92.0,2.99,7,1,reject
443,311,163,148,101.0,3.56,22,0,reject
444,321,167,154,112.0,3.44,37,0,reject
445,323,167,156,110.0,3.0,29,0,reject
446,322,166,156,108.0,3.28,45,0,reject
447,325,170,155,106.0,2.59,31,0,reject
448,316,162,154,117.0,3.64,4,1,reject
449,314,168,146,0,3.23,0,0,reject
450,307,160,147,75.0,3.48,11,0,reject
451,315,166,149,0,3.08,4,0,reject
452,320,164,156,114.0,2.54,29,0,reject
453,311,164,147,105.0,3.2,15,3,reject
454,313,160,153,107.0,2.4,11,0,reject
455,315,166,149,98.0,3.26,26,0,reject
456,303,152,151,94.0,2.99,38,0,reject
457,308,162,146,0,2.57,6,0,reject
458,308,162,146,0,2.57,6,0,reject
459,300,156,144,95.0,2.9,16,3,reject
460,308,163,145,87.0,2.67,48,1,reject
461,313,165,148,96.0,3.57,6,0,reject
462,321,167,154,114.0,3.08,0,3,reject
463,315,167,148,0,2.94,0,3,reject
464,324,170,154,106.0,3.48,27,0,reject
465,308,158,150,100.0,2.65,0,0,reject
466,314,162,152,112.0,2.07,11,3,reject
467,318,166,152,102.0,2.77,8,3,reject
468,308,161,147,0,1.94,36,3,reject
469,312,161,151,0,3.14,2,0,reject
470,315,163,152,92.0,3.04,26,0,reject
471,318,160,158,109.0,2.87,41,0,reject
472,324,167,157,112.0,2.65,6,3,reject
473,312,166,146,86.0,3.0,38,0,reject
474,312,166,146,86.0,3.0,38,0,reject
475,312,148,164,90.0,3.39,33,0,reject
476,322,152,170,101.0,2.72,0,0,reject
477,309,164,145,94.0,2.92,2,0,reject
478,300,155,145,93.0,3.12,13,0,reject
479,310,162,148,95.0,3.2,0,3,reject
480,301,155,146,102.0,2.8,1,0,reject
481,311,160,151,94.0,2.72,52,0,reject
482,308,158,150,105.0,3.21,0,0,reject
483,328,168,160,0,2.72,19,3,reject
484,316,164,152,101.0,1.95,14,2,reject
485,313,159,154,104.0,2.88,19,0,reject
486,312,157,155,108.0,2.84,24,3,reject
487,315,161,154,101.0,3.31,12,0,reject
488,331,170,161,111.0,2.4,0,0,reject
489,320,162,158,0,3.14,19,3,reject
490,313,164,149,101.0,2.96,33,3,reject
491,313,164,149,101.0,2.96,33,3,reject
492,321,170,151,103.0,3.12,22,3,reject
493,318,165,153,107.0,2.4,30,2,reject
494,321,167,154,113.0,2.15,28,0,reject
495,320,165,155,108.0,3.4,18,0,reject
496,304,163,141,98.0,3.31,0,0,reject
497,309,164,145,92.0,3.22,0,0,reject
498,319,165,154,97.0,3.3,18,0,reject
499,323,168,155,104.0,3.64,20,3,reject
500,322,167,155,117.0,3.53,2,3,reject
501,320,170,150,104.0,2.25,35,0,reject
502,315,165,150,103.0,3.75,4,1,reject
503,311,167,144,99.0,3.18,7,0,reject
504,308,157,151,96.0,3.01,15,0,reject
505,328,163,165,0,2.25,0,0,reject
506,313,156,157,105.0,3.23,17,3,reject
507,321,170,151,75.0,3.32,0,0,reject
508,311,165,146,104.0,2.82,0,0,reject
509,308,160,148,106.0,2.5,0,0,reject
510,325,167,158,113.0,3.44,14,0,reject
511,309,163,146,94.0,3.65,2,0,reject
512,315,164,151,105.0,3.32,27,0,reject
513,303,161,142,99.0,3.53,0,3,reject
514,314,166,148,104.0,3.63,5,0,reject
515,308,166,142,0,3.37,0,0,reject
516,310,159,151,103.0,3.18,39,0,reject
517,311,160,151,111.0,2.49,26,2,reject
518,318,160,158,110.0,2.14,21,0,reject
519,320,163,157,102.0,2.75,31,0,reject
520,316,164,152,91.0,2.6,0,0,reject
521,317,151,166,108.0,3.2,2,0,reject
522,317,165,152,95.0,2.44,18,2,reject
523,310,162,148,106.0,3.44,12,3,reject
524,308,158,150,91.0,2.18,0,0,reject
525,315,159,156,114.0,3.14,0,0,reject
526,320,168,152,0,2.99,27,0,reject
527,313,163,150,107.0,2.96,13,3,reject
528,322,166,156,103.0,2.25,8,3,reject
529,312,160,152,106.0,2.92,0,0,reject
530,316,163,153,0,2.68,15,3,reject
531,320,165,155,101.0,2.51,1,0,reject
532,317,162,155,0,3.56,16,0,reject
533,315,165,150,102.0,2.45,0,0,reject
534,320,164,156,0,3.36,30,0,reject
535,318,161,157,0,2.95,13,0,reject
536,308,161,147,107.0,3.49,57,2,reject
537,314,162,152,108.0,2.95,20,0,reject
538,314,162,152,108.0,2.95,20,0,reject
539,310,164,146,106.0,2.07,13,3,reject
540,306,160,146,0,3.1,18,0,reject
541,315,161,154,0,2.84,1,0,reject
542,313,156,157,114,2.25,1,0,reject
543,314,166,148,98.0,3.26,16,0,reject
544,319,165,154,106.0,3.59,2,0,reject
545,307,157,150,105.0,2.22,26,0,reject
546,310,161,149,112.0,3.4,25,0,reject
547,327,170,157,112.0,3.08,32,3,reject
548,314,167,147,90.0,2.3,56,0,reject
549,305,161,144,88.0,2.9,36,0,reject
550,314,162,152,101.0,2.85,6,0,reject
551,309,159,150,105.0,3.32,30,3,reject
552,311,161,150,110.0,3.28,20,1,reject
553,328,170,158,108.0,3.21,0,0,reject
554,323,170,153,102.0,3.6,4,0,reject
555,323,170,153,102.0,3.6,4,0,reject
556,304,160,144,91.0,3.2,57,0,reject
557,317,162,155,101.0,3.49,24,0,reject
558,311,162,149,107.0,3.13,3,3,reject
559,320,170,150,111.0,3.26,22,0,reject
560,309,159,150,114,2.3,20,0,reject
